k,overall_complexity,rmse,complexity,loss,score,equation,sympy_format,lambda_format
4,104,1.3116329599013719,24,1.756418,0.03789446400437672,(((3.4191902 - (m6 - (-0.21280505 * (m5 + (m8 - m6))))) / sin(s4 ^ 0.18150795)) - (m2 / (1.7471814 + m9))) + m6,-m2/(m9 + 1.7471814) + m6 + (-0.21280505*m5 - 0.78719495*m6 - 0.21280505*m8 + 3.4191902)/sin(s4**0.18150795),PySRFunction(X=>-m2/(m9 + 1.7471814) + m6 + (-0.21280505*m5 - 0.78719495*m6 - 0.21280505*m8 + 3.4191902)/sin(s4**0.18150795))
4,96,1.3186849912556922,26,1.7425216,0.00397162416472154,(((3.4191902 - (m6 - sin(-0.24651934 * (m5 + m8)))) / sin(s4 ^ 0.18561466)) - sin(m2 / (1.7469246 + m9))) + (m6 * 1.2797722),1.2797722*m6 + (-m6 - sin(0.24651934*m5 + 0.24651934*m8) + 3.4191902)/sin(s4**0.18561466) - sin(m2/(m9 + 1.7469246)),PySRFunction(X=>1.2797722*m6 + (-m6 - sin(0.24651934*m5 + 0.24651934*m8) + 3.4191902)/sin(s4**0.18561466) - sin(m2/(m9 + 1.7469246)))
4,107,1.3215301135901096,27,1.7072325,0.02045962115466422,(((3.419826 - (m6 - (-0.20438825 * (m5 + (m8 - m6))))) / sin(s4 ^ 0.18417977)) - (sin(m2 / (1.7471814 + m9)) * 1.4279076)) + m6,m6 + (-0.20438825*m5 - 0.79561175*m6 - 0.20438825*m8 + 3.419826)/sin(s4**0.18417977) - 1.4279076*sin(m2/(m9 + 1.7471814)),PySRFunction(X=>m6 + (-0.20438825*m5 - 0.79561175*m6 - 0.20438825*m8 + 3.419826)/sin(s4**0.18417977) - 1.4279076*sin(m2/(m9 + 1.7471814)))
4,109,1.3152794699080066,29,1.6892414,0.005297042991683568,(((3.419826 - (m6 - (-0.20438825 * ((m8 - m6) + m5)))) / sin(s4 ^ 0.18417977)) - (sin(m2 / ((1.7471814 + m9) ^ 1.3012334)) * 1.4279076)) + m6,m6 + (-0.20438825*m5 - 0.79561175*m6 - 0.20438825*m8 + 3.419826)/sin(s4**0.18417977) - 1.4279076*sin(0.483795365055917*m2/(0.57235041536042*m9 + 1)**1.3012334),PySRFunction(X=>m6 + (-0.20438825*m5 - 0.79561175*m6 - 0.20438825*m8 + 3.419826)/sin(s4**0.18417977) - 1.4279076*sin(0.483795365055917*m2/(0.57235041536042*m9 + 1)**1.3012334))
5,1,1.6461179784902682,1,5.267971,0.0,7.0075345,7.00753450000000,PySRFunction(X=>7.00753450000000)
5,16,1.57802657018709,3,3.938058,0.1454787852667391,6.9937544 - m2,6.9937544 - m2,PySRFunction(X=>6.9937544 - m2)
5,31,1.5508143039515003,5,3.6690311,0.03538004331781536,(7.1434946 - m2) - s9,-m2 - s9 + 7.1434946,PySRFunction(X=>-m2 - s9 + 7.1434946)
5,33,1.5106613048756845,7,2.8258824,0.13055347597647912,((s4 ^ -0.12890375) / 0.24636106) - m2,-m2 + 4.0590830385289/s4**0.12890375,PySRFunction(X=>-m2 + 4.0590830385289/s4**0.12890375)
5,34,1.5097573343027133,8,2.8258753,2.5124927064953916e-06,((s4 ^ -0.12890375) / sin(0.24900472)) - m2,-m2 + 4.05779109779468/s4**0.12890375,PySRFunction(X=>-m2 + 4.05779109779468/s4**0.12890375)
5,48,1.5057887593891888,9,2.634552,0.07010500875252033,(((s7 * s4) ^ -0.16408406) + 2.3190587) - m2,-m2 + (s4*s7)**(-0.16408406) + 2.3190587,PySRFunction(X=>-m2 + (s4*s7)**(-0.16408406) + 2.3190587)
